Model,Trade-off Score
Base Model,0.9687010797607155
Compressed Model,0.9633088234817797
Adaptive Strategy,0.9658840372444417

Hour,Lambda (1/ACTI)
23,0.03604170783179225
Model,Trade-off Score
Base Model,0.9639582921682077
Compressed Model,0.9577767328036535
Adaptive Strategy,0.9620643958534055

Hour,Lambda (1/ACTI)
23,0.05054013081453718
Model,Trade-off Score
Base Model,0.9494598691854628
Compressed Model,0.9408145987457716
Adaptive Strategy,0.9511592913670512

Hour,Lambda (1/ACTI)
23,0.04110644539702897
Model,Trade-off Score
Base Model,0.958893554602971
Compressed Model,0.9518410034654691
Adaptive Strategy,0.9575620107559891

Hour,Lambda (1/ACTI)
23,0.0374458646909885
Model,Trade-off Score
Base Model,0.9625541353090115
Compressed Model,0.9560660588218218
Adaptive Strategy,0.9573795408251251

Hour,Lambda (1/ACTI)
23,0.04562569402570519
Model,Trade-off Score
Base Model,0.9543743059742948
Compressed Model,0.9465411504666725
Adaptive Strategy,0.9499641817948024

Hour,Lambda (1/ACTI)
23,0.031558512716318946
Model,Trade-off Score
Base Model,0.9684414872836811
Compressed Model,0.9629863512637614
Adaptive Strategy,0.969083315887015

Hour,Lambda (1/ACTI)
23,0.031197492800996013
Model,Trade-off Score
Base Model,0.968802507199004
Compressed Model,0.9634098739932835
Adaptive Strategy,0.9694113682568011

Hour,Lambda (1/ACTI)
23,0.03405915961425048
Model,Trade-off Score
Base Model,0.9659408403857496
Compressed Model,0.9600620921227936
Adaptive Strategy,0.9643326385311798

Hour,Lambda (1/ACTI)
23,0.03666962339471512
Model,Trade-off Score
Base Model,0.9633303766052849
Compressed Model,0.9569917253255449
Adaptive Strategy,0.964355070165113

Hour,Lambda (1/ACTI)
23,0.0333778864677321
Model,Trade-off Score
Base Model,0.9666221135322679
Compressed Model,0.9608743045932729
Adaptive Strategy,0.9649600000847831

Hour,Lambda (1/ACTI)
23,0.03212192965732826
Model,Trade-off Score
Base Model,0.9678780703426717
Compressed Model,0.9623331930605951
Adaptive Strategy,0.9655267351351441

Hour,Lambda (1/ACTI)
23,0.03127073996589192
Model,Trade-off Score
Base Model,0.9687292600341081
Compressed Model,0.9632747491469585
Adaptive Strategy,0.9675346389262912

Hour,Lambda (1/ACTI)
23,0.03273360049113276
Model,Trade-off Score
Base Model,0.9672663995088673
Compressed Model,0.9615881146858205
Adaptive Strategy,0.9642104440206637

Hour,Lambda (1/ACTI)
23,-0.00946895789095757
Model,Trade-off Score
Base Model,1.0054716429633348
Compressed Model,1.0071457417013348
Adaptive Strategy,1.0080880681985263

Hour,Lambda (1/ACTI)
23,0.021527394729931967
Model,Trade-off Score
Base Model,0.9784726052700681
Compressed Model,0.9747150220516536
Adaptive Strategy,0.9780157608403393

Hour,Lambda (1/ACTI)
23,0.04376011324429861
Model,Trade-off Score
Base Model,0.9562398867557014
Compressed Model,0.9487512851416926
Adaptive Strategy,0.9553913960427811

Hour,Lambda (1/ACTI)
23,0.03887923423244669
Model,Trade-off Score
Base Model,0.9611207657675533
Compressed Model,0.9544377119837535
Adaptive Strategy,0.9606626291981389

Hour,Lambda (1/ACTI)
23,0.3918567562846748
Model,Trade-off Score
Base Model,0.6081432437153251
Compressed Model,0.5439711286354235
Adaptive Strategy,0.6054308829757887

Hour,Lambda (1/ACTI)
23,0.41311533867749756
Model,Trade-off Score
Base Model,0.5868846613225025
Compressed Model,0.5192892804844577
Adaptive Strategy,0.5822397034629301

Hour,Lambda (1/ACTI)
23,0.4672374993399727
Model,Trade-off Score
Base Model,0.5327625006600273
Compressed Model,0.4557790455620621
Adaptive Strategy,0.5129229418312797

Hour,Lambda (1/ACTI)
23,0.47373664543051464
Model,Trade-off Score
Base Model,0.5262633545694854
Compressed Model,0.4478720670288592
Adaptive Strategy,0.5082089873414561

Hour,Lambda (1/ACTI)
23,0.4709549993924026
Model,Trade-off Score
Base Model,0.5290450006075974
Compressed Model,0.45135146324432346
Adaptive Strategy,0.5182345875555749

Hour,Lambda (1/ACTI)
23,0.4738549509114948
Model,Trade-off Score
Base Model,0.5261450490885051
Compressed Model,0.4482254015084104
Adaptive Strategy,0.5143201037172087

